code,es_la
make.your.events.unforgettable.and.enable.attendees.to.check.in.using.built.in.event.app,"Haz de tus eventos una experiencia inolvidable y dale la opción a tus invitados de registrarse mediante una aplicación móvil integrada"
give.them.access.to.all.event.information.including.agendas.speaker.bios.event.presentations.real.time.updates.and.ability.to.network.before.during.and.after.the.event,"Bríndales acceso a toda la información del evento, incluyendo agendas, biografías de los oradores, presentaciones de eventos, actualizaciones en tiempo real y la capacidad de establecer contactos antes, durante y después del evento."
digital.business.card,"Tarjeta de Presentación Digital "
event.room,"Salón de eventos"
monetize.enhance.your.webinars,"Monetiza y Resalta Tus Webinars"
run.webinars.and.other.online.events.from.an.all.in.one.platform,"Ejecuta seminarios web y otros eventos en línea desde una plataforma todo en uno."
and.provide.your.attendees.with.premium.and.seamless.experience.that.gives.them.access.to.presentations.agenda.as.well.as.ability.to.connect.and.chat.with.other.attendees,"y brinda a tus asistentes una experiencia premium y sin interrupciones que les da acceso a presentaciones, agendas, y la capacidad de conectarse y chatear con otros asistentes."
learn.more.about.event.management.and.glue.up,"Conoce más sobre la Administración de Eventos y Glue Up"
see.your.membersbrhear.your.membersbrspan.classlineinsspeakinsspan.your.members,"Mira a tus miembros,<br>escucha a tus miembros,<br><span class=""line""><ins>habla</ins></span> con tus miembros."
see.it.in.action,"Míralo en Acción"
learn.more.about.membership.management.and.glue.up,"Conoce más sobre la Administración de Membresías y Glue Up"
span.classlineinstransform.insspan.your.community.engagement,"<span class=""line""><ins>Transforma </ins></span> La Participación de tu Comunidad"
connecting.with.your.community.is.more.important.than.ever.enable.them.to.thrive.no.matter.where.they.are.with.the.most.powerful.solution.on.the.market,"Conectarte con tu comunidad es más importante que nunca. Permíteles prosperar sin importar dónde se encuentren con la solución más poderosa del mercado."
business.never.sleeps.neither.should.your.community,"El negocio nunca duerme, tu comunidad tampoco debería "
give.your.members.a.digital.place.where.they.can.connect.with.you.and.your.mission.365.days.a.year.even.when.meeting.face.to.face.isnt.possible,"Brinda a tus miembros un lugar digital donde puedan conectarse contigo y su misión los 365 días del año, incluso cuando no sea posible reunirse cara a cara."
an.all.in.one.software.that.helps.you.build.manage.engage.and.understand.every.member.of.your.community,"Un software todo en uno que te ayuda a construir, administrar, involucrar y comprender a cada miembro de su comunidad."
reach.members.where.they.are,"Alcanza a los miembros donde estén "
one.app.for.you.to.manage.your.operations.from.anywhere.and.one.app.for.your.members.to.stay.connected,"Una aplicación móvil para administrar tus operaciones desde cualquier sitio y una aplicación móvil para que tus miembros puedan mantenerse conectados."
premium.user.experience.battle.tested.for.your.and.your.communitys.absolute.comfort,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti y toda tu comunidad"
provide.your.community.a.hub.where.they.can.share.their.ideas.discuss.various.topic.and.stay.social.even.when.meeting.in.person.is.not.an.option,"Brinda a tu comunidad un centro donde puedan compartir sus ideas, discutir varios temas y mantenerse en contacto, incluso cuando reunirse en persona no sea una opción."
memberbrdirectory,"Directorio de<br>Miembros"
broadcastings,Transmisiones
span.stylecolor0d62feglue.upspan.clients.are.reporting.span.classlineins3xinsspan.increase.in.engagement,"<span style=""color:#0d62fe;"">Los clientes de Glue Up</span> están reportando <span class=""line""><ins>3x</ins></span> incremento en su interacción."
networking,"Conexión Profesional"
free.member.app,"Aplicación gratuita para Miembros"
private.discussions,"Discusiones privadas"
make.it.your.business.to.enable.everyone.in.your.community.develop.lasting.relationships.with.you.and.each.other.via.1.on.1.chats.with.option.to.share.business.cards,"Que el objetivo de tu organización sea que tus miembros puedan desarrollar relaciones duraderas contigo y tu comunidad mediante chats 1 a 1 la opción de compartir tarjetas de presentación virtuales."
privacy.settings,"La configuración de privacidad"
from.small.associations.and.non.profits.to.large.chambers.of.commerce.with.dozens.of.chapters.our.clients.in.50.countries.around.the.world.love.engaging.their.members.all.in.one.with.glue.up,"Desde pequeñas asociaciones y organizaciones sin fines de lucro hasta grandes cámaras de comercio con docenas de capítulos, a nuestros clientes en más de 50 países de todo el mundo les encanta involucrar a sus miembros todo en uno con Glue Up."
admin.controls,"Controles de administrador"
define.rules.of.engagement,"Define reglas de la interacción "
full.moderation,"Moderación Completa"
post.broadcastings,"Publica Difusiones"
engagement.analytics,"Análisis de interacción "
make.it.your.business.to.enable.every.member.in.your.community.to.develop.lasting.relationships,"Que el objetivo de tu organización sea que tus miembros puedan desarrollar relaciones duraderas en tu comunidad"
with.you.and.each.other.via.1.on.1.chats.with.option.to.share.business.cards.and.premium.networking.features,"contigo y entre ellos a través de chats 1 a 1 con opción de compartir tarjetas de presentación y funciones de red premium."
understand.engagement.with.your.members,"Comprende la Interacción Con Tus Miembros"
get.immediate.insights.into.your.members.activities.from.events.email.marketing.finance.and.more.in.the.real.time.and.use.what.you.learn.to.make.smarter.decisions,"Obtén información inmediata sobre las actividades de tus miembros desde eventos, marketing por correo electrónico, finanzas y más en tiempo real y usa lo que aprendas para tomar decisiones más inteligentes."
contact.information,"Información del contacto"
membership.status.and.renewals,"Status de membresías y renovaciones"
opportunities.management,"Administración de oportunidades"
run.webinars.and.other.online.events.from.all.in.one.platform,"Ejecuta seminarios web y otros eventos en línea desde una plataforma todo en uno."
provide.your.attendees.with.premium.and.seamless.experience.that.gives.them.access.to.presentations.agenda.as.well.as.ability.to.connect.and.chat.with.other.attendees,"Bríndales a todos tus asistentes una experiencia premium, sin interrupciones que les da acceso a presentaciones, agendas, y la capacidad de conectarse y chatear con otros asistentes."
membership.br.management.suite,"Suite de Gestión de Membresías"
retain.and.span.classlineinsgrowinsspan.your.member.community,"Fideliza y haz crecer <br> tu <span class=""line""><ins>comunidad</ins></span>"
automate.your.membership.management.processes.maximize.retention.and.pamper.your.members.with.a.premium.experience.they.deserve,"Automatiza tus procesos de administración de membresía, maximice la retención y brinda a tus miembros con la experiencia premium que se merecen."
automate.operations.increase.engagement,"Automatiza las operaciones, aumenta el compromiso"
new.members,"Nuevos Miembros"
gain.new.members.effortlessly,"Obtén nuevos miembros sin esfuerzo"
provide.custom.online.application.forms.and.several.membership.types.to.easily.bring.prospective.members.in.the.door,"Proporciona formularios de solicitud en línea personalizados y varios tipos de membresía para"
information.is.automatically.synchronized.across.the.platform.from.the.very.start.of.the.application.process,"La información se sincroniza automáticamente en la plataforma desde el comienzo del proceso de solicitud"
digital.member.applications,"Aplicaciones digitales para miembros "
retention,Retencion
manage.renewals.automatically,"Automatiza las renovaciones"
drive.revenue.with.membership.renewal.workflows.designed.to.maximize.your.productivity.and.retention,"Genera ingresos con flujos de trabajo de renovación de membresía diseñados para maximizar su productividad y retención."
quickly.find.outstanding.payments.and.send.renewal.reminders.with.automated.emails.and.push.notifications,"Encuentra rápidamente pagos pendientes y envía recordatorios de renovación con correos electrónicos y notificaciones automáticas."
customizable.renewal.workflows,"Flujos de trabajo de renovación personalizables"
with.span.stylecolor0d62feglue.upspan.members.stick.around.braverage.retention.rate.of.our.clients.is.span.classlineins82insspan,"Con <span style=""color:#0d62fe;"">Glue Up</span> los miembros se quedan.<br>El promedio de retención de nuestros clientes es de <span class=""line""><ins>82%</ins></span>."
programming,Programación
run.one.or.hundred.events.from.a.to.z,"Ejecuta uno o cien eventos de la A a la Z"
set.up.vip.and.other.tickets.offer.coupons.or.member.pricing.choose.supported.payment.options.and.customize.the.registration.form.to.collect.all.the.information.you.need.in.the.glue.up.crm,"Crea entradas regulares y VIP, ofrece cupones o precios para miembros, elige opciones de pago compatibles y personaliza el formulario de registro para recopilar toda la información necesaria en el CRM de Glue Up."
send.email.campaigns.in.a.few.clicks,"Manda Campañas por Correo Electrónico en unos Cuantos Clics"
branded.email.campaigns,"Campañas de correo electrónico de marcadas"
mobile,Móvil
manage.your.community.from.anywhere,"Administra tu comunidad desde cualquier sitio"
oversee.operations.from.anywhere.manage.registrations.collect.payments.engage.with.members.and.facilitate.smooth.check.ins.onsite.to.carry.out.successful.events,"Supervisa las operaciones de tu organización desde cualquier sitio. Administra registros, tramita pagos, interactúa con tu miembros y ofrece registros presenciales que te permitan realizar eventos exitosos."
free.manager.up.app,"Aplicación gratuita para Administradores. "
membership.management,"Administración de membresías"
file.not.found,"Archivo no encontrado"
span.styletext.decoration.line.throughforspan.oh.four.brwe.are.very.sorry.lets.try.to.find.something.for.you,"<span style=""text-decoration: line-through;"">Oh</span>, oh. <br>Lo sentimos mucho. Intentemos encontrar algo para ti."
simplify.your.processes.take.the.time.to.span.classlineinsbuildinsspan.powerful.connections,"Simplifica tus procesos & toma el tiempo para hacer <span class=""line""><ins>build</ins></span> conexiones poderosas"
demonstrate.thought.leadership.and.influence.decision.making.with.glue.ups.all.in.one.engagement.software,"Demuestra liderazgo de pensamiento e influye en la toma de decisiones con el software de participación todo en uno de Glue Up."
why.consultancy.firms.love.glue.up,"Porque Firmas de Consultoría aman Glue Up"
demonstrate.thought.leadership,"Demuestra liderazgo de pensamiento"
be.the.preferred.source.of.key.market.information.and.influence.decision.making.by.creating.various.engaging.programs,"Be the preferred source of key market information and influence decision making by creating various engaging programs.  Se la fuente preferida de información clave del mercado e influye en la toma de decisiones al crear diversos programas atractivos."
efficient.and.impactful.events.of.any.size,"Eventos eficientes e impactantes de cualquier tamaño."
provide.a.seamless.event.experience.to.your.members.and.attendees,"Proporciona una experiencia de evento perfecta a sus miembros y asistentes."
create.engaging.events.that.give.the.best.attendee.experience.possible,"Crea eventos interactivos que brinden la mejor experiencia posible para los asistentes"
design.engaging.online.and.offline.events.that.enriches.relationships.within.your.clients,"Diseña eventos interactivos en y fuera de línea que enriquezcan las relaciones con tus clientes."
manage.engagement.all.in.one,"Administra las interacciones de tu organización en un solo sitio"
a.powerful.all.in.one.software.with.the.best.event.management.email.marketing.finance.analytics.and.mobile.apps,"Un software eficaz, todo en uno, con la mejor administración de eventos, marketing por correo electrónico, finanzas, análisis y aplicaciones móviles."
create.an.engaging.online.and.offline.event.experience,"Crea una experiencia de evento interactiva en y fuera de línea "
manage.hundreds.of.events.large.and.small.efficiently.from.the.initial.idea.to.the.follow.up.after.the.event.and.deliver.premium.event.experience.to.your.members.and.attendees,"Administra cientos de eventos, chicos y grandes de forma eficiente desde el proceso creativo hasta el seguimiento post evento. Dale un experiencia premium a tus miembros y asistentes."
evaluate.events.on.a.micro.level,"Evalúa eventos a nivel micro"
track.attendance.sponsorship.sales.pl.and.monitor.performance.of.your.events.in.real.time,"Realiza seguimiento de la asistencia, las ventas de patrocinio, P&G y supervisa el rendimiento de tus eventos en tiempo real."
ultimate.email.marketing.toolkit.connected.with.other.powerful.features,"Increíble kit de herramientas de mercadotecnia por correo electrónico conectado con otras funciones."
manage.and.facilitate.your.learning.programs.with.glue.ups.all.in.one.engagement.software,"Administra y ofrece tus programas de aprendizaje con el software todo en uno de interacción de Glue Up"
why.td.companies.love.glue.up,"Porque Empresas T&D aman Glue Up"
efficiently.manage.learning.programs,"Administra los programas de aprendizaje eficientemente."
build.and.maintain.an.online.business.directory.that.gives.access.to.exclusive.resources,"Crea y mantén un directorio empresarial en línea que brinde acceso a recursos exclusivos."
bring.members.extra.value,"Brinda a los miembros un valor extra"
manage.organize.and.facilitate.learning.courses.in.an.all.in.one.platform,"Administra, organiza y ofrece cursos en nuestra plataforma todo en uno."
develop.a.seamless.and.strong.learning.culture,"Desarrolla una cultura de aprendizaje sólida y sin fisuras"
enhance.the.learner.experience.through.a.variety.of.types.of.content.live.events.webinars.and.other.resources,"Mejora la experiencia del alumno a través de una variedad de tipos de contenido, eventos en vivo, seminarios web y otros recursos. "
improve.membership.value,"Aumenta el valor de tu membresía"
reinforce.reputation.and.thought.leadership.by.helping.your.members.achieve.their.career.goals,"Refuerza la reputación y el liderazgo intelectual ayudando a tus miembros a alcanzar sus objetivos profesionales."
provide.flexible.pricing,"Proporcionar precios flexibles"
customize.pricing.on.courses.for.members.and.non.members.discounts.coupons.and.promotional.bundles,"Personaliza los precios de los cursos para miembros y no miembros, descuentos, cupones y paquetes promocionales."
deliver.continuing.education.programs,"Ofrece programas de educación continua."
produce.cpdcpe.accredited.programs.that.meet.requirements.set.by.governing.bodies.and.members.can.instantly.realize.value.from.their.commitment,"Produce programas acreditados de CPD / CPE que cumplen con los requisitos establecidos por los órganos de gobierno y los miembros pueden obtener instantáneamente el valor de su compromiso."
create.an.engaging.learning.programs.experience,"Crea una experiencia de programas de aprendizaje interactiva"
manage.hundreds.of.programs.large.and.small.efficiently.from.the.initial.idea.to.the.follow.up.and.deliver.premium.experience.to.your.members,"Administra cientos de proyectos, chicos y grandes de forma eficiente desde el proceso creativo hasta el seguimiento post evento. Dale un experiencia premium a tus miembros y asistentes."
offer.multiple.learning.opportunities.across.all.industries,"Ofrece multiples oportunidades de capacitación en distintas industrias"
whether.it.is.offline.online.or.taped.video.courses.this.is.a.great.way.to.monetize.your.knowledge.and.expertise,"Ya sea un curso presencial, en línea, o grabado, esta es una excelente manera de monetiza tu conocimiento y experiencia."
learn.more.about.chambers.of.commerce.and.glue.up,"Conoce más sobre como las Cámaras de Comercio utilizan Glue Up"
manage.your.entire.event.marketing.and.gather.actionable.insights.with.glue.ups.all.in.one.engagement.software,"Administra toda la mercadotecnia de tu evento y recolecta datos accionables con el software todo en uno de interacción de Glue Up."
why.event.organizers.love.glue.up,"Porque Organizadores de Eventos aman Glue Up"
all.in.one.event.management.software,"Software de administración de eventos todo en uno"
manage.your.entire.event.marketing.and.gather.actionable.insight.with.an.all.in.one.software,"Administra toda la mercadotecnia de tu evento y recolecta datos accionables con nuestro software todo en uno."
design.engaging.online.and.offline.events.that.enriches.relationships.within.your.communities,"Diseña eventos interactivos en y fuera de línea que enriquezcan las relaciones dentro de tus comunidades."
measure.event.performance.and.roi,"Mide el desempeño y retorno de tus eventos"
replace.the.guessing.game.with.real.ways.to.demonstrate.the.success.of.your.event,"Reemplaza el juego de adivinanzas con formas reales de demostrar el éxito de tu evento"
encourage.connections.with.a.private.event.only.community,"Fomenta las conexiones con una comunidad solo para eventos privada."
effectively.network.online.or.offline.by.sharing.digital.business.cards.attendee.chat.live.polls.and.an.attendee.app,"Conéctate de manera efectiva en o fuera de línea al compartir tarjetas de presentación digitales, chat de asistentes, encuestas en vivo y una aplicación para asistentes."
set.up.your.event.for.success,"Haz que tu evento sea un éxito"
customize.your.event.to.include.exactly.what.your.event.needs.and.easily.accepts.payments.in.multiple.currencies,"Personaliza tu evento para incluir exactamente lo que tu evento necesita y acepta fácilmente pagos en múltiples monedas."
learn.more.about.conference.management.and.glue.up,"Conoce más sobre la Administración de Conferencias y Glue Up"
scale.connections.with.clients.at.all.stages.of.investment.and.gain.investor.trust.with.glue.ups.all.in.one.engagement.software,"Escala conexiones con los clientes en todas las etapas de la inversión y gana la confianza del inversor con la plataforma todo-en-uno de Glue Up."
brand.building.and.business.development,"Desarrollo de marca y desarrollo de negocios."
scale.connections.with.clients.at.all.stages.of.investment.and.gain.investor.trust.by.offering.valuable.firm.expertise.and.thought.leadership,"Escala conexiones con los clientes en todas las etapas de la inversión y gana la confianza del inversor ofreciendo una valiosa experiencia empresarial y liderazgo intelectual. "
understand.engagement.and.optimize.your.strategy,"Comprende la interacción y optimiza tu estrategia"
view.immediate.engagement.scores.that.measure.overall.engagement.of.your.clients,"Ve inmediatamente puntuaciones de participación que miden el compromiso general de tus clientes."
manage.your.entire.operations.and.gather.span.classlineinsactionableinsspan.insights,"Administra todas tus operaciones y recolecta <span class=""line""><ins>datos</ins></span> accionables"
manage.your.entire.operations.and.gather.actionable.insights.with.glue.ups.all.in.one.engagement.software,"Administra todas tus operaciones y recolecta datos accionables con el software todo en uno de interacción de Glue Up."
why.associations.love.glue.up,"Porque Asociaciones aman Glue Up"
reinforce.leadership.by.creating.engaging.programs.that.drives.membership.value,"Refuerza el liderazgo través de la creación de programas interactivos que incrementan el valor de la membresía."
understand.engagement.and.optimize,"Comprende la interacción y optimiza"
view.immediate.engagement.scores.that.measure.overall.engagement.of.your.members,"Ve inmediatamente puntuaciones de participación que miden el compromiso general de tus miembros."
drive.revenue.with.membership.and.sponsorship,"Genera más ingresos con membresía y patrocinio"
procure.robust.channels.to.drive.revenue.for.membership.applications.renewals.and.sponsorship,"Adquiere canales robustos para generar ingresos por solicitudes de membresía, renovaciones y patrocinio."
manage.your.operations.anywhere,"Administra tus operaciones  desde cualquier sitio"
a.powerful.all.in.one.manager.app.that.allows.you.to.impact.your.members.from.anywhere,"Una poderosa aplicación administrativa todo en uno que te permite impactar a tus miembros desde cualquier lugar."
automate.your.membership.workflows,"Automatiza tus flujos de trabajo de membresía"
improve.your.membership.management.workflows.and.maximize.retention.with.automated.renewal.notices.and.membership.application.processes,"Mejor la gestión del ciclo de renovación de tu membresías y maximiza la retención de tus miembros mediante notificaciones automatizadas de renovación y procesos para solicitud de membresías"
maximize.member.engagement,"Maximiza la interacción de tus miembros"
give.your.members.a.place.where.they.can.connect.with.you.and.your.mission.365.days.a.year.even.when.meeting.face.to.face.isnt.possible,"Brinda a tus miembros un lugar donde puedan conectarse contigo y su misión los 365 días del año, incluso cuando no sea posible reunirse cara a cara."
why.chambers.of.commerce.love.glue.up,"Porque Cámaras de Comercio aman Glue Up"
build.a.stronger.business.community.with.your.members,"Construye una comunidad empresarial más fuerte con tus miembros"
understand.engagement,"Comprende la interacción"
grow.your.business.and.gather.actionable.insights.with.glue.ups.all.in.one.engagement.software,"Haz crecer su negocio y obtén información util con el software de interacción todo en uno de Glue Up."
why.corporations.love.glue.up,"Porque Corporaciones aman Glue Up"
nurture.leads.and.accelerate.sales.pipeline,"Alimenta oportunidades de negocio y tu proceso de ventas"
get.immediate.insight.on.your.contacts.turning.them.into.high.value.leads,"Obtén información inmediata sobre sus contactos convirtiéndolos en clientes potenciales de alto valor."
stay.lean.and.grow.your.business,"Mantente al día y haz crecer tu negocio"
identify.your.revenue.targets.create.new.opportunities.and.accelerates.the.sales.cycles,"Identifica tus objetivos de ingresos, crea nuevas oportunidades y acelera los ciclos de ventas."
run.efficient.and.impactful.events.of.any.size,"Ejecuta eventos eficientes e impactantes de cualquier tamaño"
streamline.your.processes.engagement.and.collect.donations.with.with.glue.ups.all.in.one.engagement.software,"Optimiza tus procesos, interacciones y colecta donaciones con el sistema todo-en-uno de Glue Up."
why.non.profits.love.glue.up,"Porque Organizaciones Sin Fines de Lucro aman Glue Up"
reinforce.reputation.and.thought.leadership.by.creating.engaging.programs.that.drives.membership.value,"Refuerza la reputación y el liderazgo intelectual a través de la creación de programas interactivos que incrementen el valor de la membresía."
build.strong.relationships.and.maximize.retention,"Crea relaciones sólidas y maximiza la retención"
create.meaningful.interactions.with.supporters.that.nurture.long.term.relationships.and.sustained.support.over.time,"Crea interacciones significativas con los partidarios que fomenten relaciones a largo plazo y un apoyo sostenido a lo largo del tiempo."
collect.donations.effortlessly,"Recopila donaciones sin esfuerzo"
save.even.more.time.automating.tasks.that.is.crucial.in.keeping.your.members.happy.and.engage.whilst.also.making.payments.easy,"Ahorra aún más tiempo automatizando tareas que son cruciales para mantener a tus miembros contentos y comprometidos mientras haciendo más fácilmente la forma de pago."
help.build.and.strengthen.your.network.of.supporters,"Ayuda a construir y fortalecer tu red de seguidores"
organize.analyze.and.strategically.implement.communication.with.nonprofit.supporters.to.maintain.and.grow.those.relationships,"Organiza, analiza e implementa comunicación estratégica con los afiliados de tu asociación para mantener y crecer esas relaciones."
learn.more.about.non.profits.and.glue.up,"Conoce más sobre como las Asociaciones sin fines de lucro utilizan Glue Up"
great.engagement.starts.span.classlineinshereinsspan,"Las mejores interacciones comienzan <span class=""line""><ins>aquí</ins></span>"
manage.your.operations,"Administra tus operaciones"
bringing.members.value,"Brindando valor a los miembros"
engagement.data.and.analytics,"Datos y análisis de interacción"
drive.revenue,"Genera ingresos"
automate.manual.tasks,"Automatiza tareas manuales"
streamline.your.processes.and.become.the.best.version.of.yourself,"Optimiza tus procesos y conviértete en la mejor versión de ti mismo."
make.it.easy.for.everyone,"Hazlo sencillo para todos"
premium.user.experience.battle.tested.for.your.and.all.your.members.absolute.comfort,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti y tus miembros."
engage.your.members,"Interactúa con tus miembros "
gain.instant.visibility.into.engagement.and.performance.with.interactive.dashboards.and.profiles,"Obtén visibilidad instantánea de la interacción y el rendimiento con tableros y perfiles interactivos."
stay.engaged.anywhere,"Quédate comprometido, Donde Sea"
you.and.your.members.are.doing.more.and.more.work.from.mobile.so.software.comes.with.two.mobile.apps.one.for.you.and.one.for.your.members,"Tu y tus miembros están haciendo más y más trabajo desde el celular, el sistema viene con dos aplicaciones - una para administrarlo y otra para los usuarios. "
start.building.with.apis,"Empieza a construir con APIs"
build.exactly.what.you.need.with.flexible.apis.and.webhooks,"Crea exactamente lo que necesita con API flexibles y webhooks."
contacts.pipeline,"Contactos y flujo"
manage.your.audiences.and.opportunities.with.easy.to.use.tools,"Administra tu audiencia y oportunidades de negocio con herramientas sencillas de utilizar."
dashboard.insights,"Tablero e Información "
gain.instant.visibility.into.engagement.with.interactive.dashboards.and.profiles,"Obtén visibilidad instantánea de la interacción con tableros y perfiles interactivos."
privacy.security,"Privacidad y seguridad"
we.take.care.of.security.so.you.can.focus.on.serving.your.community,"Nosotros cuidamos tu seguridad para que tu te concentres en servir a tu comunidad."
keep.things.span.classlineinsconnectinginsspan.with.every.glue.up.feature,"Mantén todo <span class=""line""><ins>connecting</ins></span> con todas las herramientas de Glue Up"
platform.modules,"Módulos de la Plataforma"
keep.your.contacts.in.one.place.and.find.opportunities.for.engagement,"Mantén tus contactos en un sólo lugar y descubre oportunidades de interacción"
spark.engagement.with.the.right.environment.for.your.community.to.thrive,"Crea interacción con el ambiente correcto para que tu comunidad prospere."
take.engagement.live.with.events.both.online.and.offline,"Ten el compromiso en vivo durante los eventos, tanto en línea como presenciales."
premium.members.deserve.premium.features,"Usuarios premium merecen herramientas premium"
talk.to.your.community.and.keep.them.engaged.with.your.content,"Habla con tu comunidad y mantenlos interactuando con tu contenido."
finance.invoicing,"Finanzas y facturación"
ease.the.financials.with.automatic.invoicing.and.keep.your.books.connected,"Facilita las finanzas con la facturación automática y mantén tus libros conectados."
connect.your.team.and.their.tasks.across.differnt.modules,"Conecta tu equipo y sus tareas a través de diferentes módulos."
reach.out.to.to.your.community.for.the.answers.and.learn.about.your.performance,"Comunícate con tu comunidad para obtener respuestas y aprender sobre tu desempeño."
cpecpd.credits,"Créditos CPE / CPD"
website,"Página Web"
keep.your.presence.on.the.web.connected.to.everthing.else,"Mantén tu presencia en línea conectada a todo lo demás"
integrations,Integraciones
integrate.your.workflow.with.your.favourite.tools,"Integra tu flujo de trabajo con tus herramientas favoritas"
payments,Pagos
facilitate.online.and.offline.payments.connected.to.everything.else,"Facilita los pagos en y fuera de línea conectados a todo lo demás."
glue.up.app,"Aplicación Glue Up"
do.more.while.on.the.go.and.provide.your.community.with.a.tool.to.stay.engaged.247,"Haz más sobre la marcha y brinda a tu comunidad una herramienta para mantenerse involucrado 24/7."
glue.up.manager,"Glue Up Manager"
a.payment.gateway.built.for.professional.communities,"Una pasarela de pago echa para ls comunidades profesionales "
create.surveys.of.any.kind.in.a.few.simple.clicks,"Crea encuestas de cualquier tipo en unos pocos clics."
gain.instant.visibility.into.surveys.results.with.interactive.dashboards.and.profiles,"Obtén visibilidad instantánea de los resultados de las encuestas con tableros y perfiles interactivos."
ask.even.faster,"Pregunta aún más rápido"
use.available.templates.prepared.by.professionals.to.save.even.more.time,"Usa plantillas disponibles hechas por profesionales para ahorrar aún más tiempo."
simplify.all.payment.processes.from.beginning.to.end.without.compromising.on.security,"Simplifica todos los procesos de pagos desde el inicio hasta el final sin comprometer tu seguridad."
stay.on.top.of.your.financials,"Quédate al tanto de tus finanzas"
with.the.mobile.app.you.can.access.pl.and.other.financial.reports.from.anywhere,"Con la aplicación móvil, tú puedes acceder a las P&G y otros reportes de finanzas desde cualquier lugar."
online.and.offline.events,"Eventos en línea y presenciales"
plan.promote.execute.and.evaluate.one.or.hundreds.of.events.from.start.to.finish,"Planea, promueve, ejecuta y evalúa uno o cientos de eventos virtuales de comienzo a fin."
understand.your.audience.by.having.all.contact.information.and.activities.centralized.in.one.place,"Comprende a tu audiencia al tener toda la información y actividades de tus contactos centralizada en un sólo lugar."
emails,"Correos electrónicos"
send.newsletters.branded.event.invitations.and.other.emails.in.a.few.clicks.and.track.performance,"Manda boletines informativos, invitaciones personalizadas a eventos y otros correos electrónicos en unos cuantos clics y da seguimiento al rendimiento."
finance.payments,"Finanzas y pagos"
collect.money.effortlessly.and.stay.up.to.date.with.your.financial.performance.in.real.time,"Recopila dinero sin esfuerzo y manténte actualizado sobre tu desempeño financiero en tiempo real."
make.smart.decisions.faster.by.having.a.complete.picture.of.your.performance.and.engagement,"Toma decisiones estratégicas rápido teniendo el panorama completo del desempeño e interacciones de tu organización."
one.app.for.you.to.manage.your.organization.from.anywhere.one.app.for.your.attendees.members,"Una aplicación móvil para administrar tu organización desde cualquier sitio y una aplicación móvil para tus asistentes y miembros"
one.tool.to.manage.the.whole.event.lifecycle,"Una herramienta para administrar todo el ciclo del evento"
during,Durante
after,Después
start.using.the.best.technology.to.engage.with.your.community,"Empieza a utilizar la mejor tecnología para interactuar con tu comunidad."
event.management.suite,"Suite de Gestión de Eventos"
membership.management.suite,"Suite de Gestión de Membresías"
virtual.events.management.suite,"Suite de Gestión de Eventos Virtuales"
community.management.suite,"Suite de Gestión de Comunidades"
learning.management.suite,"Suite de Gestión Educativa"
donations.management.suite,"Suite de Gestión de Donaciones"
a.single.tool.from.outreach.to.engaged.members,"Una sola herramienta desde alance hasta a los miembros involucrados."
a.new.payment.gateway.for.communities.built.for.engagement,"Una nueva pasarela de pago para las comunidades creadas para la interacción."
log.in,Registro
support,Soporte
why.glue.up,"¿Por qué Glue Up? "
stay.engaged.on.the.go,"Quédate conectado mientras continúas"
manage.your.operations.on.the.go,"Administra tus operaciones al momento"
products,Productos
all.in.one.solutions,"Soluciones Todo-en-Uno"
enhance.and.boost.your.community,"Mejora e impulsa tu comunidad"
training.management.suite,"Suite de Gestión Educativa"
additional.features," características adicionales"
website.solution,"Solución de Página Web"
white.labeling,"White Labeling"
for.your.industry,"Para tu Industria"
associations,Asociaciones
chambers.of.commerce,"Cámaras de Comercio"
conference.organizers,"Organizadores de conferencias"
corporations,Corporaciones
non.profits,"Sin fines de lucro"
financial.services,"Servicios financieros "
consultancy.firms,"Empresas de consultoría"
training.development,"Entrenamiento & Desarrollo"
pricing,Precios
about,"Acerca de"
resources,Recursos
blog,Blog
articles.on.event.management.engagement.communities.associations.and.chambers.of.commerce,"Artículos sobre administración de eventos, interacción, comunidades, asociaciones y cámaras de comercio."
partners,Socios
case.studies,"Casos de Estudio"
academy,"Academia "
per.industry,"Por Industria"
request.a.demo,"Solicita una Demo"
whitepapers,Whitepapers
legal,Legal
terms.conditions,"Términos & Condiciones"
terms.conditions.for.users,"Términos & Condiciones para Usuarios"
privacy.policy,"Política de privacidad"
legal.notice,"Aviso legal"
gdpr,GDPR
company,Empresa
culture,Cultura
careers,Carreras
contact.us,"Contáctanos "
facebook,Facebook
twitter,Twitter
linked.in,LinkedIn
choose.your.language,"Elige tu idioma"
latest.from.glue.up.blog,"Lo más reciente del Blog de Glue Up"
engage.your.audience.and.build.powerful.connections,"Interactúa con tu audiencia y crea conexiones poderosas"
own.your.eventsbrbefore.during.and.after,"Contro tus evento<br>desde la planeación, durante el evento y post evento."
set.manage.and.utilize.your.your.data.the.way.you.want.it,"Administra y utiliza tu data de la manera que quieras."
manage.the.whole.event.lifecycle,"Administra todo el ciclo de vida del evento"
choose.supported.payment.options.and.customize.the.registration.forms.to.collect.all.the.information.you.need.in.the.eventbank.crm,"Elige las opciones de pago admitidas y personaliza el formulario de registro "
